CNTV,#genre#
蒙语卫视,https://livestream-bt.nmtv.cn/nmtv/2315general.m3u8?txSecret=4971666599ef9411629213c9a300bf66&txTime=771EF880
内蒙古卫视,https://stream1.freetv.fun/325ee158a9026a625e36ada7cab8bf4606657903a9312e1c19a2af5e7a73d1b7.m3u8
内蒙古卫视,http://148.135.93.213:81/live.php?id=%E5%86%85%E8%92%99%E5%8F%A4%E5%8D%AB%E8%A7%86
内蒙古卫视,https://livestream-bt.nmtv.cn/nmtv/2314general.m3u8?txSecret=35f2dd39972cede5222c6bd2c0efe24b&txTime=77395680
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8?_upt=e2bbe63d1714196546
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8?_upt=63cf437e1591689484
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8?_upt=f35a89681647856030
青海卫视,https://stream1.freetv.fun/fad5348a9b285c835736b9f812f4785acff0120fc543ca59063b87dca13e7229.m3u8
四川卫视,http://148.135.93.213:81/live.php?id=%E5%9B%9B%E5%B7%9D%E5%8D%AB%E8%A7%86
山西卫视,http://58.221.214.82:9901/tsfile/live/0017_1.m3u8
山西卫视,http://148.135.93.213:81/live.php?id=%E5%B1%B1%E8%A5%BF%E5%8D%AB%E8%A7%86
天津卫视,https://stream1.freetv.fun/a700de96dc13188f1532d89bbb699c4232e8c8c62418eaca13e737017ea8eec7.m3u8
香港卫视,https://stream1.freetv.fun/79e4d77e2f29a2ca7f7cabbbe2ee02d32a4f2f7fb91ae94d0fb9573c9f94b4ab.ctv
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=8ee59707fee3ef96c922e680-167055218938751&wsIPSercert=d24f6d7c9d3646d9533d492d5209384b&wsMonitor=0
西藏卫视,http://148.135.93.213:81/live.php?id=%E8%A5%BF%E8%97%8F%E5%8D%AB%E8%A7%86
云南卫视,http://60.172.59.214:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=0&authid=0
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=3c732f93c14e1bc0c07641df-156388849014752&wsIPSercert=8de23d0849e78e3b16ec92a809235421&wsMonitor=0
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=e5b4ef626c5980be2fbdf2e7-158332927312639
凤凰卫视,http://148.135.93.213:81/phenix.php?id=fhzw#https://k44991.kylintv.tv/live/pxna_iphone.m3u8#http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=8654&tk=e503191f8e20#http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw#http://cdn.132.us.kg/live/fhzw/stream.m3u8

🇨🇳斗鱼直播,#genre#
斗鱼电影HD1,https://live.metshop.top/douyu/4246519
斗鱼电影HD1,http://www.52sw.top:678/play/douyu.php?id=4246519
斗鱼电影HD1,https://www.goodiptv.club/douyu/4246519
斗鱼电影HD4,https://live.metshop.top/douyu/85894
斗鱼电影HD4,http://www.52sw.top:678/play/douyu.php?id=85894
斗鱼电影HD4,https://www.goodiptv.club/douyu/85894
斗鱼电影HD5,https://live.metshop.top/douyu/263824
斗鱼电影HD5,https://www.goodiptv.club/douyu/263824
斗鱼电影HD6,https://www.goodiptv.club/douyu/747764
斗鱼电影HD6,https://live.metshop.top/douyu/747764
斗鱼电影HD7,https://live.metshop.top/douyu/20415
斗鱼电影HD7,http://www.52sw.top:678/play/douyu.php?id=20415
斗鱼电影HD9,https://live.metshop.top/douyu/323876
斗鱼电影HD9,http://www.52sw.top:678/play/douyu.php?id=323876
斗鱼电影HD10,https://live.metshop.top/douyu/6140589
斗鱼电影HD10,https://www.goodiptv.club/douyu/6140589
斗鱼电影HD10,http://www.52sw.top:678/play/douyu.php?id=6140589
斗鱼电影HD12,https://live.metshop.top/douyu/2436390
斗鱼电影HD12,http://www.52sw.top:678/play/douyu.php?id=2436390
斗鱼电影HD13,https://live.metshop.top/douyu/218859
斗鱼电影HD13,https://www.goodiptv.club/douyu/218859
斗鱼电影HD14,https://live.metshop.top/douyu/36337
斗鱼电影HD22,http://www.52sw.top:678/play/douyu.php?id=252802
斗鱼电影HD22,https://live.metshop.top/douyu/252802
斗鱼电影HD25,https://live.metshop.top/douyu/8945323
斗鱼电影HD28,https://live.metshop.top/douyu/4332
斗鱼电影HD29,https://live.metshop.top/douyu/9651304
斗鱼电影HD31,https://live.metshop.top/douyu/8814650
斗鱼电影HD35,https://live.metshop.top/douyu/1165374
斗鱼电影HD35,https://www.goodiptv.club/douyu/1165374
斗鱼电影HD40,https://live.metshop.top/douyu/1226741
斗鱼电影HD40,https://www.goodiptv.club/douyu/1226741


🇨🇳系列电影,#genre#
林正英电影,http://223.85.105.11/test-txdwk.flv.huya.com/src/1394575543-1394575543-5989656348986441728-2789274542-10057-A-0-1.m3u8
周星驰电影,http://223.85.105.11/test-txdwk.flv.huya.com/src/1394575534-1394575534-5989656310331736064-2789274524-10057-A-0-1.m3u8
电影_周星星,https://live.metshop.top/huya/11336587
X战警系列电影,http://liushizupu.site:35455/yy/1382736893
超级英雄系列电影,http://fy27.zbds.top:55455/yy/1382736863
国产大片电影,http://fy27.zbds.top:55455/yy/1354926655
国内奇幻电影大片,http://fy27.zbds.top:55455/yy/1382735627
港片鬼片老电影,http://fy27.zbds.top:55455/yy/1355269576
敢死队精彩动作电影,http://fy27.zbds.top:55455/yy/1382735573
绝版电影港片女鬼,http://fy27.zbds.top:55455/yy/1461579859
绝版电影港片女鬼,http://fy27.zbds.top:55455/yy/1455988450
惊悚电影,http://www.52sw.top:678/play/douyu.php?id=96577
惊悚电影,https://www.goodiptv.club/douyu/96577
惊悚电影,https://live.metshop.top/douyu/96577
末日系列-外国电影合集,http://liushizupu.site:35455/yy/1354889019
漫威电影,http://zzy789.xyz/douyu1.php?id=6140589
特辑电影,http://www.52sw.top:678/play/douyu.php?id=3637778
特种兵归来-国产电影,http://liushizupu.site:35455/yy/1382735581
岳云鹏宋小宝也来演电影,http://liushizupu.site:35455/yy/1354926612
美亚电影,http://ku9.fr.to/smt.php?id=meiyamovie_twn

🇨🇳专题电影,#genre#
电影_八点档,https://live.metshop.top/huya/880261
电影_变形金刚,https://live.metshop.top/huya/21059596
电影_盗墓,http://rihou.cc:555/huyad.php?id=21059552
电影_谍战,http://rihou.cc:555/huyad.php?id=21059585
电影_动作电影,https://live.metshop.top/huya/11602077
电影_国产悬疑,https://live.metshop.top/huya/11342395
电影_高分动作,https://live.metshop.top/huya/11352884
电影_怪兽系列,https://live.metshop.top/huya/21059554
电影_搞笑恐怖,https://live.metshop.top/huya/11601960
电影_搞笑喜剧,https://live.metshop.top/huya/11342423
电影_古装片,https://live.metshop.top/huya/11336590
电影_黑帮片,https://live.metshop.top/huya/11336719
电影_贺岁,https://live.metshop.top/huya/11601971
电影_欢笑影院,https://live.metshop.top/huya/11352894
电影_经典港片,https://live.metshop.top/huya/11352965
电影_警匪,https://live.metshop.top/huya/11352886
电影_女神系列,https://live.metshop.top/huya/11336571
电影_强森,http://rihou.cc:555/huyad.php?id=21059581
电影_热血,https://live.metshop.top/huya/11352934
电影_推荐,https://live.metshop.top/huya/11602041
电影_玄幻,http://rihou.cc:555/huyad.php?id=11342414
电影_喜剧,https://live.metshop.top/huya/11352877
电影_喜剧专场,https://live.metshop.top/huya/11602044
电影_喜乐影院,http://rihou.cc:555/huyad.php?id=21059580
电影_嫣然影厅,https://live.metshop.top/huya/11601977
电影_宇宙,https://live.metshop.top/huya/11342428
电影_灾难片,https://live.metshop.top/huya/11602075
电影_战争片,http://rihou.cc:555/huyad.php?id=21059574
电影_蜘蛛侠,https://live.metshop.top/huya/21059599
电影_怪兽,http://rihou.cc:555/huyad.php?id=21059577


🇨🇳斗鱼电视剧,#genre#
斗鱼电视剧HD1,https://www.goodiptv.club/douyu/2838296
斗鱼电视剧HD1,http://www.52sw.top:678/play/douyu.php?id=2838296
斗鱼电视剧HD1,https://live.metshop.top/douyu/2838296
斗鱼电视剧HD6,http://www.52sw.top:678/play/douyu.php?id=431460
斗鱼电视剧HD11,http://www.52sw.top:678/play/douyu.php?id=9650860
斗鱼电视剧1,https://live.metshop.top/douyu/299854
斗鱼电视剧1,https://www.goodiptv.club/douyu/299854
斗鱼电视剧1,http://www.52sw.top:678/play/douyu.php?id=299854
斗鱼电视剧3,http://www.52sw.top:678/play/douyu.php?id=276200
斗鱼电视剧3,https://www.goodiptv.club/douyu/276200
斗鱼电视剧4,https://live.metshop.top/douyu/4290711
斗鱼电视剧4,https://www.goodiptv.club/douyu/4290711
斗鱼电视剧8,https://www.goodiptv.club/douyu/5261342
斗鱼电视剧8,https://live.metshop.top/douyu/5261342
斗鱼电视剧9,https://www.goodiptv.club/douyu/5522351
斗鱼电视剧9,http://www.52sw.top:678/play/douyu.php?id=5522351
斗鱼电视剧9,https://live.metshop.top/douyu/5522351
斗鱼电视剧13,https://www.goodiptv.club/douyu/3439096
斗鱼电视剧13,https://live.metshop.top/douyu/3439096
斗鱼电视剧13,http://www.52sw.top:678/play/douyu.php?id=3439096
斗鱼电视剧14,https://live.metshop.top/douyu/4549169
斗鱼电视剧14,https://www.goodiptv.club/douyu/4549169
斗鱼电视剧14,http://www.52sw.top:678/play/douyu.php?id=4549169
斗鱼电视剧15,http://www.52sw.top:678/play/douyu.php?id=7254536
斗鱼电视剧19,https://live.metshop.top/douyu/7459925
斗鱼电视剧19,http://www.52sw.top:678/play/douyu.php?id=7459925
斗鱼电视剧19,https://www.goodiptv.club/douyu/7459925
斗鱼电视剧22,http://www.52sw.top:678/play/douyu.php?id=10297898
斗鱼电视剧22,https://live.metshop.top/douyu/10297898
斗鱼电视剧22,https://www.goodiptv.club/douyu/10297898
斗鱼电视剧25,https://live.metshop.top/douyu/7623292
斗鱼电视剧25,https://www.goodiptv.club/douyu/7623292
斗鱼电视剧26,http://www.52sw.top:678/play/douyu.php?id=7356023
斗鱼电视剧26,https://www.goodiptv.club/douyu/7356023
斗鱼电视剧26,https://live.metshop.top/douyu/7356023
